"filename", "language", "JSON", "JavaScript", "Markdown", "SCSS", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\programming\Project_1\Front-end\src\components\Headers\AboutUsHeader.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 2, 5, 34
"d:\programming\Project_1\Front-end\src\components\Headers\BlogPostHeader.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 2, 7, 59
"d:\programming\Project_1\Front-end\src\components\Headers\EcommerceHeader.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 2, 5, 31
"d:\programming\Project_1\Front-end\src\components\Headers\IndexHeader.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 2, 5, 29
"d:\programming\Project_1\Front-end\src\components\Headers\LandingPageHeader.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 2, 7, 70
"d:\programming\Project_1\Front-end\src\components\Headers\PresentationHeader.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 3, 4, 63
"d:\programming\Project_1\Front-end\src\components\Headers\ProductPageHeader.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 2, 5, 33
"d:\programming\Project_1\Front-end\src\components\Headers\ProfilePageHeader.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 2, 5, 31
"d:\programming\Project_1\Front-end\src\components\Headers\SettingsHeader.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 2, 5, 24
"d:\programming\Project_1\Front-end\src\components\Headers\TwitterRedesignHeader.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 2, 5, 24
"d:\programming\Project_1\Front-end\src\components\Navbars\ColorNavbar.js", "JavaScript", 0, 230, 0, 0, 0, 0, 0, 5, 5, 240
"d:\programming\Project_1\Front-end\src\components\Navbars\DangerNavbar.js", "JavaScript", 0, 205, 0, 0, 0, 0, 0, 4, 3, 212
"d:\programming\Project_1\Front-end\src\components\Navbars\InfoNavbar.js", "JavaScript", 0, 205, 0, 0, 0, 0, 0, 4, 3, 212
"d:\programming\Project_1\Front-end\src\components\Navbars\MultiDropdownNavbar.js", "JavaScript", 0, 307, 0, 0, 0, 0, 0, 5, 5, 317
"d:\programming\Project_1\Front-end\src\components\Navbars\WhiteNavbar.js", "JavaScript", 0, 205, 0, 0, 0, 0, 0, 4, 3, 212
"d:\programming\Project_1\Front-end\src\components\RichTextEditor.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 9, 64
"d:\programming\Project_1\Front-end\src\index.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 19, 4, 109
"d:\programming\Project_1\Front-end\src\views\Index.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 5, 5, 61
"d:\programming\Project_1\Front-end\src\views\NucleoIcons.js", "JavaScript", 0, 631, 0, 0, 0, 0, 0, 1, 3, 635
